uid,iid,rating
305,111364,0.5
567,33493,1.5
399,780,3.5
610,2143,3.5
543,68157,4.0
91,4448,4.0
477,2700,3.5
377,2124,4.0
211,78499,4.0
474,8938,4.0
169,4963,4.5
294,3524,2.0
559,1391,3.0
566,231,2.0
57,1221,5.0
411,105,3.0
380,3740,5.0
28,6934,3.5
220,1722,3.5
462,102125,3.0
68,3536,4.0
272,108190,3.0
27,1396,3.0
448,2194,4.0
562,5669,4.0
606,898,5.0
232,480,3.0
215,912,4.5
336,628,4.5
109,283,2.0
420,6755,3.0
27,367,4.0
517,93740,1.5
294,910,4.0
610,85179,4.0
288,2409,3.0
480,6306,3.5
414,4138,1.0
20,914,4.5
600,59131,3.5
409,1276,5.0
307,3740,4.0
385,588,4.0
597,2133,3.0
446,349,3.0
273,457,4.0
506,39,5.0
47,55247,4.0
583,31685,2.0
555,1580,2.0
414,4223,4.0
43,29,5.0
140,3798,3.0
391,110,5.0
593,48385,3.0
50,52885,3.0
462,32022,4.0
392,4085,2.0
603,3635,1.0
328,914,4.0
125,139855,3.5
307,54004,4.0
434,500,2.0
307,593,4.5
279,1222,4.0
429,164,3.0
577,2058,3.0
332,54286,3.5
387,45499,2.0
387,175,4.0
606,168,2.5
414,4899,2.0
64,160,2.5
381,5952,4.0
474,2502,4.0
155,2502,5.0
590,8874,3.0
414,4229,3.0
606,4056,3.5
298,88405,0.5
509,5377,3.5
453,2683,5.0
600,4744,0.5
387,1078,3.0
76,81535,4.5
367,3745,3.0
380,6287,3.0
260,8873,3.0
483,33677,3.5
221,1584,3.5
552,1405,3.5
607,3273,4.0
111,65585,3.5
330,61240,5.0
125,167746,4.0
573,8528,4.5
560,1208,4.0
414,3952,4.0
22,4995,3.5
606,6942,2.5
282,2987,4.0
222,1249,3.5
432,3980,4.0
417,1221,5.0
2,77455,3.0
116,2657,3.0
256,45668,3.5
312,2710,3.0
42,1101,5.0
177,108190,4.0
10,56949,3.0
260,903,4.5
526,296,4.0
307,1221,4.5
45,1934,3.0
600,762,0.5
325,1031,3.0
104,94833,4.0
63,2959,5.0
367,3793,5.0
288,4522,1.0
572,1173,1.0
267,4011,5.0
380,48142,4.0
332,1301,4.0
6,312,1.0
484,8957,4.0
359,405,2.5
474,1253,4.0
214,1059,4.0
328,1200,4.0
373,225,2.0
288,2080,3.0
307,4091,3.5
212,4027,3.5
351,48516,5.0
462,5952,4.0
414,41997,4.0
596,30816,3.5
414,110,5.0
419,7022,5.0
177,111362,3.5
489,33615,4.0
288,8783,3.0
111,63479,4.5
434,3753,2.5
414,76077,3.5
155,1302,3.0
354,260,4.0
318,6934,3.5
139,61240,3.0
590,1200,4.5
261,1682,4.5
599,137218,2.5
599,1257,2.0
524,494,5.0
580,8636,3.0
132,3948,2.0
42,1614,4.0
305,48394,5.0
19,1597,2.0
68,2291,3.0
220,8636,4.5
603,2745,2.0
525,97866,4.5
438,3978,2.5
111,159161,4.5
48,3623,2.5
606,3267,3.5
610,59315,4.0
328,3793,0.5
221,1247,4.5
414,594,4.0
474,991,3.0
91,1258,4.5
298,69644,0.5
408,132046,2.5
590,30707,4.0
505,441,2.5
42,4359,4.0
416,260,3.0
280,231,3.0
165,2353,4.0
177,78772,3.0
307,6952,2.5
177,3386,3.0
448,8614,2.0
448,84392,3.0
608,2028,4.5
601,1221,4.5
89,73319,2.0
447,296,5.0
288,2057,3.0
414,5218,3.0
586,41566,4.5
380,3635,5.0
305,58299,4.0
219,2683,4.0
597,1231,5.0
470,318,4.0
288,8984,3.0
514,4993,2.0
590,5218,4.0
203,2571,2.5
305,111759,3.5
608,4873,3.0
492,494,4.0
594,2340,4.0
573,457,4.5
387,50800,2.0
318,71494,3.5
474,6195,4.0
440,924,4.5
110,111,4.0
294,2054,3.0
89,132584,3.5
120,1210,5.0
330,4902,4.0
160,3638,1.0
122,94677,4.5
305,2105,3.0
414,1307,4.0
16,678,4.0
153,616,2.0
42,628,2.0
84,1104,4.0
483,2232,4.0
125,69757,1.0
506,112552,3.5
570,508,3.5
479,5460,4.0
59,3230,5.0
204,59604,4.0
511,51086,4.0
606,6970,4.0
600,8644,0.5
391,3271,4.0
173,410,3.0
517,34072,2.5
474,1466,4.0
580,8236,0.5
338,190209,4.0
273,253,3.0
112,2571,5.0
489,33836,1.5
51,1079,5.0
62,3752,3.5
600,2059,3.0
274,51662,4.0
412,1079,3.0
216,4036,3.0
200,46578,5.0
605,41566,4.5
234,455,3.0
393,1653,4.0
182,3925,5.0
305,68954,5.0
232,8369,3.5
610,51077,2.0
330,3948,4.0
594,1497,5.0
509,4896,3.5
356,1246,5.0
305,61024,3.0
610,5128,2.0
606,1955,4.0
357,1035,4.5
593,3996,4.5
380,3784,3.0
105,56145,4.0
422,1272,5.0
109,355,3.0
263,2628,3.0
469,3418,4.0
318,52885,3.0
603,306,4.0
414,1711,5.0
140,44709,4.0
346,1221,3.5
566,356,5.0
477,5971,4.0
156,3629,4.0
414,1172,4.0
97,4638,4.0
22,8622,0.5
448,5956,4.5
16,1704,3.5
420,1136,5.0
182,590,4.5
211,71535,4.0
232,42728,2.5
414,8833,3.5
357,3360,3.5
111,140715,4.5
525,1022,3.0
414,33646,2.5
483,1278,4.0
307,6322,2.0
119,165551,4.5
354,5418,4.0
599,5993,2.5
448,4198,3.0
447,532,3.0
501,849,3.0
95,293,4.5
45,1476,3.0
41,1200,2.0
356,30810,4.0
91,2456,2.5
156,1513,3.0
462,3422,4.0
594,2175,4.5
279,103341,2.0
140,1845,4.0
318,5838,4.0
28,300,2.0
274,7236,4.0
610,160080,3.0
331,6754,3.0
368,1590,2.0
68,1997,1.5
216,3072,4.0
177,1962,4.5
453,3972,5.0
597,2692,4.0
414,5438,3.0
111,47518,3.5
177,780,3.5
43,48,5.0
249,79132,5.0
47,508,4.0
448,6539,3.5
599,6722,2.5
365,3752,2.0
212,86644,3.0
448,68358,3.5
179,743,3.0
313,1374,4.0
474,8121,3.0
438,5254,3.5
357,2012,4.0
298,37384,3.0
123,97923,4.0
474,3246,4.0
21,8972,4.0
294,2468,2.0
610,3908,2.5
403,1027,3.5
606,6807,4.0
68,455,2.0
405,70,4.0
414,597,3.0
448,5490,5.0
606,3310,5.0
414,1625,4.0
414,4291,3.0
274,5833,4.0
483,29,5.0
156,1732,3.0
202,474,3.0
380,5377,4.0
382,2294,4.5
525,48304,2.5
217,905,4.0
578,830,4.0
116,231,2.5
561,1222,4.5
156,7107,3.5
477,59037,4.0
212,98809,3.5
599,913,3.5
601,5989,4.5
22,5013,0.5
223,344,1.0
156,5712,4.0
327,1148,4.0
352,135133,4.0
188,3061,4.0
274,6287,2.0
274,6763,1.0
22,3911,4.0
226,277,3.0
76,8641,3.0
541,474,4.0
260,1094,2.5
561,122886,4.0
74,46578,5.0
376,5378,4.5
68,95875,4.0
187,1198,3.0
483,110297,3.5
318,33794,4.0
91,1035,2.0
573,653,3.0
385,533,3.0
610,91660,3.0
18,590,4.0
68,2125,4.5
70,1259,4.5
385,196,3.0
405,1089,4.0
555,2365,3.0
33,1678,5.0
219,44,1.5
448,4643,1.5
489,912,4.0
274,2701,2.5
91,153,2.0
421,912,4.0
263,163,4.0
202,3342,3.0
66,2571,5.0
587,50,5.0
408,2571,4.5
103,106766,3.5
313,2105,3.0
91,3081,5.0
64,223,3.0
105,665,4.5
101,2490,2.0
524,344,3.0
102,236,3.0
399,593,4.5
473,48082,4.0
414,511,2.0
477,1080,4.0
504,4700,3.0
328,1198,5.0
610,2459,3.5
365,102123,4.0
274,1265,4.5
567,76175,0.5
232,54286,4.0
594,6417,4.0
96,1220,3.0
414,50804,3.0
212,3949,3.5
536,419,3.0
95,29,5.0
573,94864,4.5
603,2283,4.0
232,33679,4.0
317,1219,5.0
425,4973,4.0
160,1499,1.0
414,7319,2.0
572,1230,5.0
5,531,4.0
414,8798,4.0
380,26999,3.0
593,2336,4.5
283,1569,2.0
606,6591,4.0
313,2947,4.0
345,779,5.0
50,2925,3.5
182,296,5.0
317,5630,5.0
555,1346,3.0
18,92094,3.5
339,3578,5.0
19,1238,3.0
472,318,5.0
92,107,5.0
474,1588,3.0
220,1517,3.5
103,78469,2.5
600,2723,3.5
45,1127,4.0
414,5669,4.0
474,2736,3.0
602,208,3.0
382,98809,4.5
370,44195,4.0
483,2083,3.5
380,68237,5.0
474,4321,3.0
474,7026,1.5
249,1210,4.5
125,103341,4.5
414,5219,4.0
181,217,2.0
522,1213,3.5
70,89492,4.5
52,2324,4.0
249,95105,3.5
7,4896,4.0
489,1680,1.0
216,2018,4.0
193,1206,5.0
429,279,3.0
417,110102,3.5
294,3396,4.0
448,4890,2.5
414,52975,3.5
474,1921,4.0
292,2096,3.0
21,4718,4.5
351,4069,2.5
567,8961,3.5
292,85131,3.5
1,1275,5.0
603,1120,2.0
448,160563,2.0
380,3254,3.0
571,1334,2.0
365,103772,3.0
369,7132,3.5
119,33615,4.0
74,5812,4.0
414,4679,4.0
307,8970,4.5
51,1088,4.0
169,1393,5.0
391,2568,2.0
498,588,5.0
500,2997,5.0
382,34319,3.5
408,136540,4.5
427,4995,4.0
219,3300,4.0
375,2628,1.5
355,2951,4.0
318,8622,3.5
151,840,4.0
438,4247,1.5
84,551,3.0
182,3160,5.0
78,1200,3.0
448,4040,3.0
607,1259,5.0
249,65682,3.5
414,96737,4.0
594,2396,4.0
256,64957,4.5
232,44199,3.5
288,110,5.0
195,4022,3.0
78,836,3.0
448,122892,3.0
561,1258,4.5
596,111362,3.0
438,2420,3.5
247,91500,4.0
290,3334,4.0
477,1544,3.0
115,1198,4.0
331,106489,4.0
448,95201,3.0
573,5093,2.0
330,1198,3.5
480,1090,4.0
58,110,5.0
323,203,3.0
367,3072,4.0
474,27882,4.0
325,1676,4.0
129,1197,5.0
307,3535,5.0
135,2470,3.0
298,6620,3.0
220,1258,2.0
32,353,3.0
562,1197,5.0
564,103883,4.5
352,2232,4.0
219,55276,4.5
187,4720,4.5
222,71464,2.5
374,1356,5.0
520,4370,4.0
177,52722,1.0
365,41566,3.0
198,4903,3.0
387,39446,3.0
448,3744,1.5
219,46322,3.0
307,8874,5.0
19,1690,1.0
414,4771,4.0
335,805,3.0
318,1199,3.5
561,653,3.0
489,1438,2.0
352,47,5.0
420,1721,4.0
29,99114,4.5
382,7149,3.5
601,112852,4.0
122,27660,5.0
599,2018,3.0
603,320,3.0
557,231,3.5
339,41566,3.0
360,1747,5.0
66,7090,4.0
558,3825,4.0
28,3949,2.0
412,908,5.0
594,589,5.0
351,1704,4.5
199,3998,3.0
448,93242,1.5
201,2455,4.0
222,45447,3.0
280,5299,3.0
422,2959,4.0
474,235,4.0
51,7160,5.0
490,33794,3.0
600,2973,3.5
466,40815,4.5
274,6559,3.5
414,54503,4.0
606,321,4.0
168,1248,5.0
111,8957,0.5
512,457,5.0
307,33495,2.0
77,1198,5.0
508,3396,2.0
414,1396,4.0
306,66203,3.0
474,3296,3.5
93,2321,4.0
438,6155,4.0
448,5573,2.5
474,2870,3.0
477,3809,4.0
19,589,5.0
414,54881,4.0
159,64957,4.0
298,8368,3.0
125,54190,5.0
411,455,3.0
474,1350,4.0
419,1090,4.0
599,2717,3.0
426,587,2.0
89,136359,5.0
514,2396,3.5
108,4027,5.0
83,5903,3.5
599,3962,1.5
567,179749,1.5
318,1845,4.5
68,80463,3.5
187,8228,4.0
172,661,3.5
483,27815,5.0
402,293,3.0
474,1079,4.5
177,6957,0.5
483,2355,3.5
182,1597,4.0
4,235,2.0
600,6377,4.0
152,58559,4.0
169,3624,3.5
219,1,3.5
274,4040,3.0
483,89305,3.5
19,1127,3.0
561,1380,2.0
89,74698,2.5
604,153,3.0
187,48043,3.5
369,1967,3.5
282,318,4.5
68,37733,3.0
429,208,3.0
139,3996,2.0
448,73017,4.0
313,2867,5.0
298,1963,4.0
382,56171,4.0
105,905,4.0
184,2579,4.0
59,527,5.0
434,51255,3.5
469,1231,4.0
438,1722,3.5
1,1348,4.0
235,590,4.0
129,1625,4.0
114,122882,3.0
125,3553,3.0
298,1,2.0
509,5952,5.0
594,48,4.5
211,1704,5.0
453,1092,3.0
476,356,5.0
495,33679,3.5
448,45722,2.5
475,45499,4.0
586,3147,4.0
606,2948,4.0
147,163,4.5
249,1690,3.0
275,1285,4.0
600,2011,4.5
116,367,5.0
313,4848,4.0
387,2997,4.0
419,6365,4.0
477,208,4.0
562,73211,3.5
105,33124,3.5
580,1266,4.0
294,3099,2.0
91,3984,3.5
600,225,2.0
80,5445,4.5
477,3527,4.0
223,48394,5.0
328,94864,2.0
414,157699,4.0
19,2502,2.0
232,2791,3.0
161,252,4.0
448,8529,3.0
368,81,3.0
275,3504,5.0
105,3593,2.0
420,6539,4.0
590,64957,3.5
601,88810,4.5
199,3037,4.0
226,3254,4.0
510,1997,4.5
523,127052,4.0
274,330,4.0
64,778,5.0
477,2699,2.5
83,30749,3.5
332,3168,3.5
480,34162,3.5
141,6365,3.0
514,165103,3.5
1,1032,5.0
525,54503,3.5
525,4447,4.5
18,26444,3.5
212,54995,4.0
554,2570,3.0
479,3707,3.0
448,3623,2.0
462,1247,5.0
579,2087,3.0
332,30793,3.5
606,8254,4.0
64,7743,4.5
223,1704,3.5
522,1089,4.0
332,6333,3.5
298,2193,3.0
599,4293,2.0
390,34437,4.5
275,1259,4.0
298,76060,2.5
284,344,5.0
268,2915,3.0
68,3421,3.0
337,1356,3.0
20,899,4.0
246,7669,5.0
150,786,3.0
298,1587,3.0
64,8832,3.5
68,2302,3.0
387,163,4.0
232,34520,2.5
382,60937,2.5
318,2321,3.5
239,44191,4.5
387,1287,3.5
380,10,5.0
579,838,5.0
385,707,3.0
3,7899,4.5
384,3471,5.0
40,292,3.0
250,2770,0.5
182,2135,1.5
417,1198,2.5
256,105504,4.0
160,2011,4.0
599,4149,2.5
105,179133,5.0
177,953,4.5
4,910,5.0
232,59784,3.0
166,2329,5.0
306,31433,3.0
203,590,5.0
219,34150,2.0
318,616,3.5
42,2641,2.0
601,59315,5.0
246,81847,5.0
600,2427,1.0
567,136602,2.0
14,455,3.0
448,3740,3.0
606,3100,3.5
287,2115,1.5
51,3809,3.0
298,122882,3.0
606,2125,4.0
425,2692,4.0
577,2476,3.0
271,1805,2.5
608,3735,3.5
328,34,5.0
68,40629,4.0
573,48394,4.0
288,34528,3.0
246,163,4.5
474,2406,3.0
326,2692,4.0
95,7373,1.0
91,908,3.0
600,356,4.0
402,112,4.0
295,68157,5.0
428,2334,2.0
432,48780,4.5
64,8795,4.5
139,55118,3.0
68,27611,4.0
460,89039,4.5
228,610,3.0
401,134853,4.0
63,6104,5.0
536,196,1.0
555,3101,4.0
590,3489,3.0
80,85414,4.5
33,1095,4.0
474,8019,4.0
464,48516,4.0
47,1265,2.0
590,3654,4.0
599,3259,3.0
561,79057,3.0
42,1042,2.0
513,4306,4.0
387,7022,3.0
22,1193,5.0
405,6023,4.0
202,1372,3.0
274,3300,3.5
354,3527,4.0
290,11,4.0
448,1961,3.0
244,1228,4.0
548,1477,4.0
106,5349,3.5
378,99114,3.0
94,160,3.0
274,6947,3.0
469,2736,3.0
18,68358,3.5
469,1213,4.0
177,1499,2.0
480,3362,4.0
525,45720,4.0
437,6,5.0
141,1653,4.0
428,4571,3.0
305,1270,5.0
580,33004,4.0
411,480,5.0
247,4993,4.0
529,653,4.0
464,62956,2.0
599,2398,3.5
437,1246,3.0
307,454,3.0
181,435,2.0
414,2260,2.0
312,2046,3.0
607,2420,4.0
414,517,2.0
29,356,4.5
474,6863,3.5
414,574,4.0
21,108945,3.0
474,49957,3.0
603,4024,3.0
263,4973,4.0
483,673,2.5
580,5954,4.0
298,96616,2.0
504,5299,3.5
603,269,3.0
135,485,5.0
605,653,2.0
41,58998,4.0
313,2641,3.0
425,4963,4.0
318,27904,4.5
177,8368,3.5
199,2006,3.0
249,43919,1.0
185,364,4.0
448,92665,2.5
484,5419,4.0
517,7153,3.0
164,1200,5.0
432,1196,3.5
495,1645,5.0
608,4679,0.5
298,81834,3.0
221,3507,4.0
135,663,4.0
391,1270,4.0
464,90384,2.0
68,2640,3.5
520,2918,4.0
111,107348,2.5
372,1204,5.0
219,1876,2.0
261,27611,4.5
18,168252,4.0
200,1968,4.0
318,67197,3.0
216,1125,3.0
233,5954,4.0
82,3785,4.0
508,1270,4.5
105,69134,5.0
590,1270,4.5
491,586,5.0
252,164179,5.0
424,2571,2.0
225,2628,3.0
391,1193,5.0
6,277,5.0
17,3949,4.5
414,2064,3.0
599,2600,2.5
274,3843,4.0
438,3225,3.0
96,648,3.0
586,260,4.5
105,3977,3.5
132,2291,4.0
599,56174,2.5
284,44,3.0
448,104913,4.0
410,4002,5.0
356,55269,4.0
610,108932,4.0
44,737,5.0
414,5112,3.0
111,47122,4.0
321,165,3.0
460,5418,5.0
140,1729,4.0
386,733,3.0
476,597,3.0
