uid,iid,rating
469,1178,5.0
265,2701,2.0
534,67923,4.0
573,8360,3.0
509,50796,2.0
599,27441,2.5
160,2571,4.0
140,4799,3.0
477,79702,5.0
93,362,4.0
541,595,3.0
290,296,5.0
125,127198,4.0
6,357,3.0
419,104,4.0
414,39427,4.0
489,2273,1.5
357,508,4.5
610,168250,5.0
564,48385,3.0
590,1359,2.0
229,592,3.0
117,527,5.0
305,2329,5.0
274,56145,4.5
606,552,3.0
275,45,2.0
388,1703,4.0
597,1299,5.0
342,2881,4.0
602,377,4.0
479,3253,4.0
88,4878,4.5
414,2606,3.0
599,1297,2.5
157,2987,4.0
34,2617,4.0
448,45722,2.5
274,4239,3.0
249,109374,4.5
514,44,2.5
318,3503,3.5
217,2412,1.0
414,2769,4.0
428,590,2.0
239,4370,1.0
33,21,4.0
357,595,4.0
528,457,4.0
472,318,5.0
414,69640,3.0
219,49272,4.5
368,2657,3.0
16,27611,4.0
414,1876,3.0
52,44665,4.0
474,4184,4.0
599,2356,2.5
594,2488,0.5
51,2100,4.0
599,6620,2.5
414,1201,5.0
222,48516,4.5
391,1206,5.0
345,2359,5.0
187,41569,4.0
292,587,3.5
474,2520,2.5
414,4221,3.0
537,53125,5.0
450,1073,4.0
601,318,5.0
122,5673,4.5
140,3681,4.0
599,1468,1.0
599,108090,3.5
606,1701,4.0
51,2033,4.5
82,2701,4.0
348,5291,4.5
84,287,3.0
51,6711,4.5
274,2012,3.0
305,112788,3.5
542,356,5.0
534,132046,4.5
567,118700,2.0
11,1370,3.0
610,72424,0.5
261,1240,4.0
336,2959,4.5
489,372,3.5
608,50,4.5
307,1327,3.5
117,410,3.0
213,72641,4.0
50,541,4.0
357,1,5.0
325,2366,4.0
469,1257,4.0
21,89745,4.0
318,182715,3.5
514,72641,4.0
288,2502,3.5
600,2140,4.5
249,134853,4.5
511,2571,5.0
567,648,2.5
367,3325,1.0
342,1959,3.0
381,5449,2.5
462,8798,2.0
249,6548,4.0
334,1394,3.5
414,592,4.0
362,1625,4.0
7,2671,4.5
356,2146,4.5
504,6708,4.5
263,32587,3.0
422,3968,2.0
570,2683,2.5
385,1303,5.0
599,6003,3.0
414,6790,2.5
608,1025,3.5
495,2273,4.5
590,46530,3.0
474,3168,3.5
346,4973,3.0
141,2502,4.0
131,858,4.0
391,2145,5.0
599,64285,2.5
156,1230,5.0
474,508,3.0
93,1784,5.0
555,1285,5.0
322,1784,3.0
81,380,2.0
408,103042,4.5
572,838,4.0
288,56174,2.5
414,1399,3.0
432,34162,3.5
1,1278,5.0
307,31,1.5
492,725,3.0
311,5944,2.5
489,2174,4.5
274,3534,2.5
491,88810,5.0
419,69860,5.0
596,179819,3.5
432,69481,4.5
480,2005,4.5
105,27834,4.5
129,7438,4.0
480,2908,4.0
477,4519,4.0
596,70637,4.0
91,3182,4.0
584,339,4.0
393,5679,3.5
288,2316,2.0
205,6874,4.5
590,55267,2.5
414,2252,3.0
524,110,3.0
139,53519,1.0
380,80219,3.0
387,6763,2.0
490,54272,3.0
15,1265,3.5
486,153,5.0
606,903,4.0
469,2243,4.0
367,3061,5.0
200,7022,3.5
216,1965,3.0
590,585,2.0
19,1485,3.0
96,2115,5.0
19,2249,3.0
541,377,3.0
410,427,4.0
195,1090,5.0
436,500,4.0
339,8644,4.5
249,924,4.5
413,3948,4.5
414,3951,5.0
563,59333,3.0
19,1047,3.0
514,1976,2.0
352,51540,4.5
600,543,2.5
187,111,4.5
328,2987,2.0
590,1248,4.0
249,1193,4.5
448,1276,5.0
381,53972,4.0
119,78469,3.5
443,48394,4.0
318,104243,3.0
41,4963,3.0
351,6539,4.0
57,2605,2.0
140,1097,4.0
67,4886,4.5
334,8360,3.5
21,5872,5.0
318,55721,4.0
466,4963,5.0
117,230,3.0
453,292,4.0
294,3130,2.0
301,733,0.5
448,136562,3.0
302,608,5.0
276,364,5.0
417,122904,4.0
217,801,3.0
480,344,3.5
179,735,3.0
